,Product_Code,Week,Sales
0,1,0,11
1,2,0,7
2,3,0,7
3,4,0,12
4,5,0,8
5,6,0,3
6,7,0,4
7,8,0,8
8,9,0,14
9,10,0,22
10,11,0,15
11,12,0,3
12,13,0,12
13,14,0,14
14,15,0,19
15,16,0,30
16,17,0,49
17,18,0,40
18,19,0,26
19,20,0,13
20,21,0,12
21,22,0,8
22,23,0,3
23,24,0,36
24,25,0,26
25,26,0,14
26,27,0,44
27,28,0,34
28,29,0,13
29,30,0,46
30,31,0,7
31,32,0,15
32,33,0,15
33,34,0,47
34,35,0,34
35,36,0,41
36,37,0,36
37,38,0,37
38,39,0,31
39,40,0,41
40,41,0,35
41,42,0,42
42,43,0,28
43,44,0,34
44,45,0,40
45,46,0,27
46,47,0,40
47,48,0,29
48,49,0,37
49,50,0,12
50,51,0,19
51,52,0,40
52,53,0,2
53,54,0,41
54,55,0,34
55,56,0,31
56,57,0,38
57,58,0,32
58,59,0,5
59,60,0,37
60,61,0,25
61,62,0,12
62,63,0,37
63,64,0,34
64,65,0,14
65,66,0,35
66,67,0,36
67,68,0,14
68,69,0,26
69,70,0,31
70,71,0,7
71,72,0,26
72,73,0,35
73,74,0,8
74,75,0,34
75,76,0,27
76,77,0,7
77,78,0,39
78,79,0,37
79,80,0,38
80,81,0,14
81,82,0,10
82,83,0,46
83,84,0,29
84,85,0,39
85,86,0,37
86,87,0,30
87,88,0,41
88,89,0,24
89,90,0,42
90,91,0,10
91,92,0,26
92,93,0,11
93,94,0,14
94,95,0,12
95,96,0,31
96,97,0,29
97,98,0,4
98,99,0,16
99,100,0,13
100,101,0,26
101,102,0,34
102,103,0,7
103,104,0,4
104,105,0,2
105,106,0,11
106,107,0,19
107,108,0,0
108,109,0,9
109,110,0,9
110,111,0,5
111,112,0,31
112,113,0,22
113,114,0,7
114,115,0,9
115,116,0,13
116,117,0,6
117,118,0,16
118,119,0,30
119,120,0,37
120,121,0,7
121,122,0,7
122,123,0,5
123,124,0,4
124,125,0,6
125,126,0,3
126,127,0,4
127,128,0,36
128,129,0,21
129,130,0,19
130,131,0,29
131,132,0,39
132,133,0,30
133,134,0,32
134,135,0,38
135,136,0,39
136,137,0,37
137,138,0,36
138,139,0,32
139,140,0,28
